133 133 1
133 167 1
133 191 1
164 164 1
164 199 1
164 156 1
131 90 1
131 131 1
130 153 1
130 130 4
130 167 1
130 198 1
137 147 1
137 197 1
137 202 1
137 137 2
137 192 1
136 195 1
136 152 1
135 135 1
139 198 1
139 57 1
139 172 3
139 91 1
139 139 1
139 189 3
139 80 1
138 89 1
93 143 4
93 55 1
93 168 1
93 178 1
93 128 1
93 129 2
93 93 3
93 172 1
24 39 1
24 27 2
24 14 1
24 169 1
24 49 1
24 18 1
24 117 1
24 37 1
24 43 1
24 35 2
24 115 1
24 75 1
24 148 1
24 7 1
24 154 1
24 171 1
24 96 1
25 151 1
25 153 1
25 154 1
25 156 1
25 194 1
25 50 2
25 133 2
25 61 1
25 117 1
25 202 1
25 110 1
25 161 2
25 67 1
25 68 1
25 80 1
25 81 2
25 87 1
25 84 3
25 25 2
25 20 3
25 22 1
25 160 1
25 44 1
25 28 3
25 40 3
25 118 4
25 179 1
25 5 1
25 7 2
25 6 2
25 166 2
25 145 2
25 184 1
25 98 3
25 74 1
25 73 2
25 72 1
25 128 1
25 100 1
25 95 1
25 107 3
25 79 1
25 38 1
25 59 1
25 54 1
25 57 1
25 56 1
25 37 1
25 36 2
25 35 2
25 34 1
25 175 1
25 169 1
26 152 1
26 155 1
26 60 2
26 131 1
26 64 1
26 110 1
26 67 1
26 69 2
26 139 1
26 81 1
26 118 1
26 26 2
26 49 3
26 28 1
26 2 1
26 148 2
26 108 1
26 72 1
26 70 1
26 165 2
26 11 1
26 10 1
26 12 1
26 15 1
26 19 1
26 32 1
26 56 1
26 37 1
26 35 2
26 111 1
27 138 1
27 151 3
27 198 1
27 197 1
27 60 1
27 88 4
27 116 1
27 64 2
27 66 1
27 112 1
27 83 1
27 80 1
27 81 1
27 175 1
27 85 1
27 25 1
27 27 2
27 21 3
27 48 1
27 49 2
27 46 1
27 44 2
27 45 1
27 28 1
27 43 1
27 41 1
27 167 2
27 146 1
27 200 1
27 145 2
27 204 1
27 76 1
27 38 2
27 124 1
27 71 1
27 70 2
27 102 4
27 93 1
27 101 1
27 106 2
27 107 1
27 133 2
27 39 1
27 12 2
27 22 1
27 121 1
27 98 2
27 19 1
27 18 1
27 30 1
27 37 1
27 36 1
27 35 3
27 34 1
27 55 1
27 32 1
20 198 1
20 51 2
20 193 1
20 60 1
20 102 1
20 88 2
20 130 1
20 175 1
20 25 1
20 27 1
20 20 1
20 49 1
20 28 1
20 29 1
20 40 1
20 41 2
20 3 1
20 7 3
20 201 1
20 145 1
20 184 1
20 120 2
20 98 1
20 124 1
20 70 1
20 91 1
20 96 1
20 13 2
20 38 1
20 15 1
20 17 1
20 16 1
20 18 1
20 31 1
20 37 2
20 36 1
20 52 1
20 32 2
21 151 15
21 153 1
21 189 3
21 60 1
21 102 1
21 111 1
21 65 3
21 66 6
21 67 1
21 69 1
21 80 8
21 139 3
21 170 1
21 27 1
21 21 17
21 22 2
21 46 5
21 47 1
21 175 1
21 45 1
21 3 1
21 7 3
21 6 1
21 8 1
21 96 1
21 143 1
21 141 1
21 120 1
21 77 1
21 75 1
21 124 1
21 72 1
21 129 4
21 91 3
21 59 1
21 93 2
21 95 6
21 94 3
21 78 5
21 10 4
21 13 1
21 38 2
21 15 1
21 55 14
21 18 1
21 31 1
21 51 1
21 99 5
21 32 1
21 57 3
22 155 1
22 200 2
22 193 1
22 63 1
22 64 1
22 66 1
22 80 1
22 87 1
22 25 1
22 26 1
22 27 2
22 22 2
22 23 1
22 44 1
22 45 1
22 41 2
22 181 1
22 147 1
22 140 1
22 70 1
22 161 1
22 104 1
22 105 1
22 10 1
22 38 1
22 14 2
22 37 1
22 50 1
23 56 1
23 50 1
23 60 1
23 61 1
23 88 1
23 110 2
23 81 2
23 173 2
23 87 3
23 26 1
23 27 1
23 23 3
23 47 1
23 28 1
23 41 2
23 181 1
23 6 1
23 203 2
23 120 2
23 76 1
23 108 1
23 123 1
23 72 1
23 71 1
23 102 2
