u	pi	USN2010	NRC95	Region  	institution
165	153.65	.	92	West     	Santa Clara University
166	154.88	127	92	West     	University of Hawaii, Manoa
167	156.16	110	62	Northeast	Temple University
168	156.35	.	92	Midwest  	University of Toledo
169	156.45	127	92	Midwest  	Michigan Technological University
170	156.98	.	92	Northeast	University of New Hampshire
171	157.66	.	92	West     	Montana State University
172	158.12	.	92	Canada   	University of New Brunswick
173	159.20	121	92	Midwest  	Wright State University
174	163.13	.	92	Midwest  	Western Michigan University
175	163.79	61	92	Northeast	Northeastern University
176	163.89	127	76	South    	University of Alabama, Huntsville
177	164.22	127	92	West     	University of Idaho, Moscow
178	164.46	121	92	South    	Texas Tech University
179	164.68	127	92	South    	University of Tulsa
180	165.50	127	92	South    	University of Mississippi
181	166.53	91	92	West     	Brigham Young University
182	168.42	.	92	Northeast	Long Island University
183	169.02	127	92	South    	University of Southern Mississippi
184	169.16	.	92	West     	University of Colorado, Colorado Springs
185	169.65	110	92	West     	Colorado School of Mines
186	169.71	99	92	South    	Georgia State University
187	171.62	.	92	West     	University of Nevada, Las Vegas
188	171.68	127	86	Midwest  	Kent State University
189	173.29	.	92	Canada   	Memorial University of Newfoundland
190	173.75	.	92	West     	Utah State University
191	174.47	127	92	Midwest  	DePaul University
192	176.03	127	92	Midwest  	North Dakota State University
193	178.55	127	92	South    	Nova Southeastern University
194	178.70	127	92	South    	University of Arkansas, Fayetteville
195	178.73	.	92	Northeast	University of Bridgeport
196	179.12	127	92	South    	University of Louisville
197	179.97	.	92	Midwest  	University of Nebraska, Omaha
198	180.75	127	92	South    	Florida Institute of Technology
199	181.14	.	92	South    	University of Arkansas, Little Rock
200	181.68	.	92	Northeast	Rochester Institute of Technology
201	182.16	.	92	Northeast	Pace University
202	182.28	127	91	West     	New Mexico Institute of Mining and Technology
203	182.47	.	92	West     	University of Nevada, Reno
204	186.81	127	92	South    	University of Alabama, Tuscaloosa
205	186.84	127	82	South    	University of North Texas, Denton
206	206.00	.	.	Earth    	All others
